content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,tokens,clean_tokens,stemmed_tokens,final_text
"apk sampah. katanya pengembalian dana 7 hari kerja..setelah 7 hari kerja gak masuk rekening saldo nya. masa gue di suruh tanya ke bank. jelas jaklingko angat tangan dengan masalah pemakainya apk sampah bener"" gak guna",1,0,,2025-09-05 02:41:04,"Halo kak PUTUT SUGIHARTO terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @aplikasi.jaklingko

",2025-09-05 13:49:51,"['apk', 'sampah', '.', 'katanya', 'pengembalian', 'dana', '7', 'hari', 'kerja', '..', 'setelah', '7', 'hari', 'kerja', 'gak', 'masuk', 'rekening', 'saldo', 'nya', '.', 'masa', 'gue', 'di', 'suruh', 'tanya', 'ke', 'bank', '.', 'jelas', 'jaklingko', 'angat', 'tangan', 'dengan', 'masalah', 'pemakainya', 'apk', 'sampah', 'bener', ""''"", 'gak', 'guna']","['apk', 'sampah', 'pengembalian', 'dana', '7', 'kerja', '..', '7', 'kerja', 'masuk', 'rekening', 'saldo', 'gue', 'suruh', 'bank', 'jaklingko', 'angat', 'tangan', 'pemakainya', 'apk', 'sampah', 'bener', ""''""]","['apk', 'sampah', 'kembali', 'dana', '7', 'kerja', '', '7', 'kerja', 'masuk', 'rekening', 'saldo', 'gue', 'suruh', 'bank', 'jaklingko', 'angat', 'tangan', 'maka', 'apk', 'sampah', 'bener', '']",apk sampah kembali dana 7 kerja  7 kerja masuk rekening saldo gue suruh bank jaklingko angat tangan maka apk sampah bener 
idiot,1,0,1.6.14,2025-09-04 00:17:36,"Halo kak Jidan Cut Achmad terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @aplikasi.jaklingko",2025-09-04 14:58:05,['idiot'],['idiot'],['idiot'],idiot
kode otp nya ko tidak dikasih trus ya..,2,0,,2025-09-02 06:39:30,"Halo kak Karlina terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @aplikasi.jaklingko

",2025-09-05 13:51:54,"['kode', 'otp', 'nya', 'ko', 'tidak', 'dikasih', 'trus', 'ya', '..']","['kode', 'otp', 'ko', 'dikasih', 'trus', '..']","['kode', 'otp', 'ko', 'kasih', 'trus', '']",kode otp ko kasih trus 
sumpah supir jaklingko ga ada yang ramahh,1,0,1.6.14,2025-08-27 02:29:44,"Halo kak Melsa Rsnda terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @aplikasi.jaklingko",2025-08-28 12:52:31,"['sumpah', 'supir', 'jaklingko', 'ga', 'ada', 'yang', 'ramahh']","['sumpah', 'supir', 'jaklingko', 'ramahh']","['sumpah', 'supir', 'jaklingko', 'ramahh']",sumpah supir jaklingko ramahh
"beli tiket mrt. dana kepotong, tiket barcode tidak keluar. sudah berapa kali kejadian. apps error. worst!",1,0,1.6.14,2025-08-25 10:36:45,"Halo kak Hotnida Novita Sary terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @aplikasi.jaklingko",2025-08-28 12:53:25,"['beli', 'tiket', 'mrt', '.', 'dana', 'kepotong', ',', 'tiket', 'barcode', 'tidak', 'keluar', '.', 'sudah', 'berapa', 'kali', 'kejadian', '.', 'apps', 'error', '.', 'worst', '!']","['beli', 'tiket', 'mrt', 'dana', 'kepotong', 'tiket', 'barcode', 'kali', 'kejadian', 'apps', 'error', 'worst', '!']","['beli', 'tiket', 'mrt', 'dana', 'potong', 'tiket', 'barcode', 'kali', 'jadi', 'apps', 'error', 'worst', '']",beli tiket mrt dana potong tiket barcode kali jadi apps error worst 
jk 41 jangan pada malas napa kerja woi setengah jam nunggu gk ada yg lewat,1,0,1.6.13,2025-08-25 00:05:22,"Halo kak Rizqullah Ramadhan terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @aplikasi.jaklingko",2025-08-28 12:54:03,"['jk', '41', 'jangan', 'pada', 'malas', 'napa', 'kerja', 'woi', 'setengah', 'jam', 'nunggu', 'gk', 'ada', 'yg', 'lewat']","['jk', '41', 'malas', 'napa', 'kerja', 'woi', 'jam', 'nunggu']","['jk', '41', 'malas', 'napa', 'kerja', 'woi', 'jam', 'nunggu']",jk 41 malas napa kerja woi jam nunggu
"gak kartu, gak aplikasi sama sama perlu di upgrade",1,0,,2025-08-24 10:13:57,"Halo kak Hollawlaa Lilaa terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @aplikasi.jaklingko",2025-08-28 12:54:30,"['gak', 'kartu', ',', 'gak', 'aplikasi', 'sama', 'sama', 'perlu', 'di', 'upgrade']","['kartu', 'aplikasi', 'upgrade']","['kartu', 'aplikasi', 'upgrade']",kartu aplikasi upgrade
"sistem nya tolong di update min, lebih baik qr nya di permudah seperti c access punya kai",5,0,1.6.14,2025-08-19 15:22:42,,,"['sistem', 'nya', 'tolong', 'di', 'update', 'min', ',', 'lebih', 'baik', 'qr', 'nya', 'di', 'permudah', 'seperti', 'c', 'access', 'punya', 'kai']","['sistem', 'tolong', 'update', 'min', 'qr', 'permudah', 'c', 'access', 'kai']","['sistem', 'tolong', 'update', 'min', 'qr', 'mudah', 'c', 'access', 'kai']",sistem tolong update min qr mudah c access kai
bjir tbtb keinstal sendiri,1,0,1.6.14,2025-08-15 12:13:39,"Halo kak aufa andhika terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @aplikasi.jaklingko",2025-08-19 12:58:40,"['bjir', 'tbtb', 'keinstal', 'sendiri']","['bjir', 'tbtb', 'keinstal']","['bjir', 'tbtb', 'keinstal']",bjir tbtb keinstal
waaaooo keren abis aplikasinya sangat membantu untuk pengecekan saldo wisata ragunan the best pokoknya,5,3,1.6.14,2025-08-13 07:54:11,,,"['waaaooo', 'keren', 'abis', 'aplikasinya', 'sangat', 'membantu', 'untuk', 'pengecekan', 'saldo', 'wisata', 'ragunan', 'the', 'best', 'pokoknya']","['waaaooo', 'keren', 'abis', 'aplikasinya', 'membantu', 'pengecekan', 'saldo', 'wisata', 'ragunan', 'the', 'best', 'pokoknya']","['waaaooo', 'keren', 'abis', 'aplikasi', 'bantu', 'kece', 'saldo', 'wisata', 'ragunan', 'the', 'best', 'pokok']",waaaooo keren abis aplikasi bantu kece saldo wisata ragunan the best pokok
